,index,uniqueId,title,price,productDescription,productImage,availability,name,catlevel1Name,catlevel2Name,combined_value
12,12,02811264,bar graphic crew neck t-shirt,19.9,A comfortable cotton tee with a cool front graphic and endless styling options.,"https://images.express.com/is/image/expressfashion/0023_02811264_0935?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,bar graphic crew neck t-shirt,men,Tops,bar graphic crew neck t-shirt
13,13,05051978,slim supersoft long sleeve crew neck t-shirt,29.9,"Take your laid-back looks to the next level with this supersoft tee. Supersoft fabric feels luxuriously comfortable, while long sleeves add an athletic touch to your outfit.","https://images.express.com/is/image/expressfashion/0036_05051978_0010?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim supersoft long sleeve crew neck t-shirt,men,Underwear & Lounge,slim supersoft long sleeve crew neck t-shirt
14,14,09089233,super high waisted original black acid wash mom jeans,79.9,"Our mom jeans come in classic fit that hugs your hips and loosens through the thigh and knee. Done in a black acid wash, this 90s-inspired style promises to level up any look.","https://images.express.com/is/image/expressfashion/0091_09089233_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,super high waisted original black acid wash mom jeans,women,Jeans,super high waisted original black acid wash mom jeans
15,15,07450155C,negin mirsalehi high waisted mixed plaid ankle pant,88.0,"Strut your stuff in these ankle pants that feature a classic plaid pattern and an effortlessly chic profile. Designed by Negin Mirsalehi, this pant helps you dress for your dreams. IG: @negin_mirsalehi","https://images.express.com/is/image/expressfashion/0092_07450155_0082?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,negin mirsalehi high waisted mixed plaid ankle pant,women,Clearance  Women,negin mirsalehi high waisted mixed plaid ankle pant
16,16,04372195,slim navy cotton blend performance stretch suit jacket,228.0,"Take your event look to the next level with this exceptionally tailored jacket in a sleek navy that compliments any complexion. With the matching vest and pant, you'll reach a new level of handsome you didn't know you had.","https://images.express.com/is/image/expressfashion/0039_04372195_0925?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim navy cotton blend performance stretch suit jacket,men,Suiting,slim navy cotton blend performance stretch suit jacket
17,17,80000264,vintage foundry zobra dress shoe,99.0,"Simply strap on this classically crafted set of stunning shoes in buttery-soft leather. This advanced dress shoe is as formal as you want it to be, equally well paired with premium denim and your most polished suit.","https://images.express.com/is/image/expressfashion/0341_80000264_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,vintage foundry zobra dress shoe,men,Labels We Love,vintage foundry zobra dress shoe
18,18,01765179,striped flannel shirt jacket,69.9,"Supersoft and comfortable, this striped flannel shirt jacket gives you a cool last layer to throw on over tees.","https://images.express.com/is/image/expressfashion/0020_01765179_2199?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,striped flannel shirt jacket,men,Tops,striped flannel shirt jacket
19,19,02704329,round nude metal frame sunglasses,29.9,A cool shape and 100% UV protection make these metal frame sunglasses great for your eyes and style.,"https://images.express.com/is/image/expressfashion/0006_02704329_0111?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,round nude metal frame sunglasses,women,Accessories,round nude metal frame sunglasses
20,20,07804099C,jacquard puff sleeve mini shift dress,79.9,"An easy choice to throw on when you want to look polished, but be comfortable, this shift dress is your new go-to. The textured jacquard fabric, notch v-neck and puff sleeves always impress.","https://images.express.com/is/image/expressfashion/0094_07804099_0011?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,jacquard puff sleeve mini shift dress,women,Clearance  Women,jacquard puff sleeve mini shift dress
21,21,80000143,tuleste tortoise trapezoid hoop earrings,60.0,Trapezoid resin earrings are sure to add shape to any look.,"https://images.express.com/is/image/expressfashion/0308_80000143_3005?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,tuleste tortoise trapezoid hoop earrings,women,Labels We Love ,tuleste tortoise trapezoid hoop earrings
22,22,80001233,"up with paper set of 8 ""girl boss"" pop-up note cards",14.99,Set of 8 pop-up note cards! Includes 2 each of 4 designs. Cards feature gold foil and envelopes with a printed interior.,"https://images.express.com/is/image/expressfashion/0350_80001233_3024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,"up with paper set of 8 ""girl boss"" pop-up note cards",women,Labels We Love ,"up with paper set of 8 ""girl boss"" pop-up note cards"
23,23,80000024,breda gold joule watch,100.0,"Truly elegant design folds top-notch functionality into a clean, harmonious form. A concave case houses an uncluttered dial with large, gleaming markers. The thin case seems almost flush as it gently slopes into the delicate tapered band.","https://images.express.com/is/image/expressfashion/0308_80000024_3043?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,breda gold joule watch,women,Accessories,breda gold joule watch
24,24,80001234,"up with paper set of 8 ""staircases"" pop-up note cards",14.99,Set of 8 pop-up note cards! Includes 2 each of 4 designs. Cards feature gold foil and die cut cover. Includes 8 powder blue envelopes.,"https://images.express.com/is/image/expressfashion/0350_80001234_3024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,"up with paper set of 8 ""staircases"" pop-up note cards",women,Labels We Love ,"up with paper set of 8 ""staircases"" pop-up note cards"
25,25,80000755,w&p work life book,20.0,"While the workplace itself is changing, what it takes to be a good employee and reliable coworker remains the same. From maximizing productivity to navigating office dating and communal kitchens, Work Life is a handbook for the modern office.","https://images.express.com/is/image/expressfashion/0350_80000755_3024?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,w&p work life book,women,Labels We Love ,w&p work life book
26,26,07923843,textured cut-out culotte jumpsuit,88.0,"Designed with allover texture and a front cut-out, this culotte jumpsuit impresses from head to toe. We love it with a heel.","https://images.express.com/is/image/expressfashion/0094_07923843_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,textured cut-out culotte jumpsuit,women,Dresses,textured cut-out culotte jumpsuit
27,27,03252055C,slim burgundy luxury 100% wool suit pant,158.0,"Made from one of our highest quality fabrics, we designed every aspect of these burgundy suit pants with luxury in mind. Rich pure wool. Impeccable details. Versatile style. Pair with the matching jacket for a polished full suit.","https://images.express.com/is/image/expressfashion/0039_03252055_0885?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,slim burgundy luxury 100% wool suit pant,men,Clearance Men,slim burgundy luxury 100% wool suit pant
28,28,09765467,snakeskin print pleated v-neck cami,49.9,"Pretty pleats give this cami a modern, fun and sophisticated look. It's a great go-to top to pair with denim for dinner & drinks with friends.","https://images.express.com/is/image/expressfashion/0087_09765467_0030?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,snakeskin print pleated v-neck cami,women,Tops,snakeskin print pleated v-neck cami
29,29,01033701,sequin scarf,29.9,"With sequin embellishments and soft, textured fabric, this scarf is perfect for livening up any outfit.","https://images.express.com/is/image/expressfashion/0006_01033701_0432?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,sequin scarf,women,Accessories,sequin scarf
30,30,80001118,ray-ban black gradient erika sunglasses,115.99,"Erika Classic Sunglasses provide a simple look that goes great with all your favorite outfits. The plastic frames are durable and lightweight for the best fit. Our gradient lenses shift from dark to light, offering the best protection.","https://images.express.com/is/image/expressfashion/0306_80001118_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,ray-ban black gradient erika sunglasses,women,Accessories,ray-ban black gradient erika sunglasses
31,31,07923146C,satin surplice split leg jumpsuit,88.0,"With a stunning split wide leg design and shiny satin fabric, this surplice jumpsuit instantly puts all eyes on you. Wear it to an upcoming event or party for a confident, comfortable and totally chic look.","https://images.express.com/is/image/expressfashion/0094_07923146_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,satin surplice split leg jumpsuit,women,Clearance  Women,satin surplice split leg jumpsuit
32,32,01760036,indiana pacers NBA hooded shirt jacket,88.0,Stay comfortable and rep your favorite NBA team at the same time with this pure cotton shirt jacket. You're ready for game day and beyond thanks to a drawstring hood and a plaid pattern in team colors.,"https://images.express.com/is/image/expressfashion/0020_01760036_1407?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,indiana pacers NBA hooded shirt jacket,men,Express x NBA,indiana pacers NBA hooded shirt jacket
33,33,07450452C,mid rise striped columnist ankle pant,79.9,"Our slimming Columnist pant with a sleek striped print, shortened ankle length and soft stretch fabric to carry you through your workday comfortably. Pair it with a button-down or blouse for a crisp, confident look.","https://images.express.com/is/image/expressfashion/0092_07450452_0038?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,mid rise striped columnist ankle pant,women,Clearance  Women,mid rise striped columnist ankle pant
34,34,01763548,slim plaid soft wash button collar shirt,59.9,Stay relaxed and look sharp with our slim soft wash shirt with a plaid print that works for every day of the week.,"https://images.express.com/is/image/expressfashion/0020_01763548_0996?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim plaid soft wash button collar shirt,men,,slim plaid soft wash button collar shirt
35,35,06034930,classic paisley cotton dress shirt,69.9,"Made from a comfortable cotton in a relaxed fit, this paisley shirt promises a sharp, polished look. Style it for the office or your dinner plans.","https://images.express.com/is/image/expressfashion/0020_06034930_0925?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,classic paisley cotton dress shirt,men,Tops,classic paisley cotton dress shirt
36,36,00310218,steve madden loft sandals,89.95,"Slip into Steve Madden's Loft to elevate your look without slowing your stride. Featuring a flattering yet not-too-high stiletto heel and a trio of skinny upper straps, this sleek dress shoe is a win-win.","https://images.express.com/is/image/expressfashion/0095_00310218_0553?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steve madden loft sandals,women,Labels We Love ,steve madden loft sandals
37,37,02846284C,slim black faded stretch+ jeans,79.9,"When you need a little extra give, reach for these slim jeans. Made from versatile black denim with just enough stretch, they're all-day comfortable and all-day ready.","https://images.express.com/is/image/expressfashion/0024_02846284_0098?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,slim black faded stretch+ jeans,men,Clearance Men,slim black faded stretch+ jeans
38,38,80001480,carter beauty hold tight perfecting primer,19.95,"Smooths away pores, texture, and absorbs any shine without feeling dry or flaky, leaving you with a flawless matte finish. Hold Tight makes for easier foundation application and longer make-up wear without any oxidization.","https://images.express.com/is/image/expressfashion/0344_80001480_3009?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,carter beauty hold tight perfecting primer,women,Accessories,carter beauty hold tight perfecting primer
39,39,08635463,spotted handkerchief tube top,49.9,"Level up your look with this handkerchief tube top, designed with a chic spotted print. The silhouette allows you to wear this tube top in a variety of ways.","https://images.express.com/is/image/expressfashion/0097_08635463_0030?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,spotted handkerchief tube top,women,Tops,spotted handkerchief tube top
40,40,80001482,carter beauty brow out dark defining pencil,12.95,"Carter Beauty by Marissa Carter Brow Out Eyebrow Pencil glides smoothly over skin, making it easy peasy lemon squeezy to create professional-looking brows. Shade Light is ideal for those with much blonde or light brown hair.","https://images.express.com/is/image/expressfashion/0344_80001482_3005?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,carter beauty brow out dark defining pencil,women,Accessories,carter beauty brow out dark defining pencil
41,41,80000032,reserved footwear the ballaster boots,59.99,"The dress shoe style double monk strap offers a dapper look, while its high-top boot inspiration finishes the look beautifully. It is the perfect shoe to wear with jeans and a sweater, turning any casual combination of clothes into a luxe look.","https://images.express.com/is/image/expressfashion/0341_80000032_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,reserved footwear the ballaster boots,men,Labels We Love,reserved footwear the ballaster boots
42,42,00155268,brown double wrap braided plate bracelet,19.9,"A double wrap bracelet to complement your rugged, casual looks. Fits comfortably with a concealed magnetic closure.","https://images.express.com/is/image/expressfashion/0034_00155268_0486?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,brown double wrap braided plate bracelet,men,New Arrivals,brown double wrap braided plate bracelet
43,43,08261430C,off the shoulder mesh stitch pullover sweater,69.9,A shoulder-baring sweater style with a relaxed look. Dolman sleeves and a shorter length make it the perfect pick to pair with jeans or joggers.,"https://images.express.com/is/image/expressfashion/0096_08261430_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,off the shoulder mesh stitch pullover sweater,women,Clearance  Women,off the shoulder mesh stitch pullover sweater
44,44,80002577,tai cubic zirconia amore ring,80.0,Wear some love on your finger with this Cubic Zirconia Amore Ring.,"https://images.express.com/is/image/expressfashion/0308_80002577_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,tai cubic zirconia amore ring,women,Labels We Love ,tai cubic zirconia amore ring
45,45,07168408C,high waisted plaid stretch ankle leggings,79.9,These extra soft leggings come with a little bit of stretch to provide a snug fit. Rock this plaid print look with a silky top or graphic tee for effortless style and undeniable attitude.,"https://images.express.com/is/image/expressfashion/0085_07168408_0042?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,high waisted plaid stretch ankle leggings,women,Clearance  Women,high waisted plaid stretch ankle leggings
46,46,07198469C,super high waisted denim perfect black button front leggings,98.0,"Designed to fit, flex & flatter, this super high-waisted, extra stretchy jean legging lifts, smooths and shapes for a slimming effect. Complete with stylish matte buttons, they're perfect for running into your ex.","https://images.express.com/is/image/expressfashion/0091_07198469_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,super high waisted denim perfect black button front leggings,women,Clearance  Women,super high waisted denim perfect black button front leggings
47,47,07108844,super high waisted denim perfect paperbag waist ankle leggings,88.0,"Designed in a sleek dark wash with our Denim Perfect technology that fits and flatters your curves, this super high waisted pair is ideal for everyday wear. Tuck in your favorite tops to show off the slimming style of this must-have legging.","https://images.express.com/is/image/expressfashion/0091_07108844_0020?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,super high waisted denim perfect paperbag waist ankle leggings,women,Petite Clothing,super high waisted denim perfect paperbag waist ankle leggings
48,48,00846046,pavé four row ring,29.9,"With its cluster of crystals, this elegant pavé ring adds just the right amount of sparkle and shine to a dressy or party look.","https://images.express.com/is/image/expressfashion/0008_00846046_0408?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,pavé four row ring,women,Jewelry,pavé four row ring
49,49,02756585,classic straight dark wash hyper stretch jeans,88.0,"Designed with maximum hyper stretch fabric, this dark wash take on the classic fit, straight leg jean is an ideal comfort choice when you want something to wear for hours at the office straight into date night.","https://images.express.com/is/image/expressfashion/0024_02756585_0020?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,classic straight dark wash hyper stretch jeans,men,Pants,classic straight dark wash hyper stretch jeans
50,50,80001916,deny designs marshland travel mug,39.0,"This mug is constructed from stainless steel with a vacuum-sealed lid making it durable and spill-resistant. The mug is double-walled for drinks both hot and cold.Every purchase pays the artist who designed it, supporting creativity worldwide.","https://images.express.com/is/image/expressfashion/0332_80001916_3039?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,deny designs marshland travel mug,women,Labels We Love ,deny designs marshland travel mug
51,51,02200218,minnesota timberwolves NBA graphic t-shirt,29.9,Make it NBA official. Rep your team in style with this t-shirt that features pure cotton comfort and a bold NBA graphic.,"https://images.express.com/is/image/expressfashion/0023_02200218_0058?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,minnesota timberwolves NBA graphic t-shirt,men,Express x NBA,minnesota timberwolves NBA graphic t-shirt
52,52,01694917,slim soft wash floral chambray shirt,49.9,"Made with our special soft wash process for that old-favorite-feel, this short sleeve chambray shirt is a great go-to for warm weather outings.","https://images.express.com/is/image/expressfashion/0020_01694917_0851?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim soft wash floral chambray shirt,men,New Arrivals,slim soft wash floral chambray shirt
53,53,04778078,floral cotton crew neck t-shirt,34.9,A classic crew neck tee with a subtle floral print. Made from comfortable cotton for everyday wear.,"https://images.express.com/is/image/expressfashion/0022_04778078_1701?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,floral cotton crew neck t-shirt,men,Tops,floral cotton crew neck t-shirt
54,54,80002570,melissa harmonic + jason wu flip flop,75.0,The Harmonic flip flop is revived with a simple cute bow.,"https://images.express.com/is/image/expressfashion/0395_80002570_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,melissa harmonic + jason wu flip flop,women,Labels We Love ,melissa harmonic + jason wu flip flop
55,55,01702747C,slim garment dyed button-down short sleeve shirt,39.9,"You can't beat the classics, and this crisp, garment dyed cotton shirt is essential in any closet. Wear it to work with chinos and a jacket for a comfortable office look, or grab some jeans when you want to clean up for after-hours.","https://images.express.com/is/image/expressfashion/0020_01702747_0269?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,slim garment dyed button-down short sleeve shirt,men,Clearance Men,slim garment dyed button-down short sleeve shirt
56,56,80001485,carter beauty after dark jet black volume mascara,12.95,"Carter Beauty by Marissa Carter After Dark Volumising Mascara was carefully designed with a remarkable brush which provides a fabulous lift, length and volume. The fibres in After Dark leave lashes looking voluminous all day long.","https://images.express.com/is/image/expressfashion/0344_80001485_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,carter beauty after dark jet black volume mascara,women,Accessories,carter beauty after dark jet black volume mascara
57,57,80001126,sterling forever gold triple layer drop chain necklace,64.0,"They say good things come in threes--like this triple layer triangle drop chain necklace! This beautiful, subtle piece is the perfect final touch to any outfit in your wardrobe. Features a triangle charm and three delicate layers.","https://images.express.com/is/image/expressfashion/0308_80001126_3043?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,sterling forever gold triple layer drop chain necklace,women,Labels We Love ,sterling forever gold triple layer drop chain necklace
58,58,07450601C,mid rise pull-on cargo utility ankle pant,79.9,"On-trend and on our list of favorite casual looks, this cargo pant promises chic, utility style you can pair with sneakers and a tee for a night out with friends.","https://images.express.com/is/image/expressfashion/0092_07450601_1785?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,mid rise pull-on cargo utility ankle pant,women,Clearance  Women,mid rise pull-on cargo utility ankle pant
59,59,00321042,superga 2750 sneakers,99.0,"Step into style with these sneakers from Featured Brand Superga that features a classically comfortable fit with fresh, modern detail. Whether on a daytime adventure or a midnight escapade, these kicks are a perfect pick.","https://images.express.com/is/image/expressfashion/0095_00321042_0098?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,superga 2750 sneakers,women,Labels We Love ,superga 2750 sneakers
60,60,05048084,printed moisture-wicking performance polo,49.9,"A classic collar, short sleeves and cool print take this polo from athletic to iconic. Movement-friendly, moisture-wicking performance stretch fabric sets the standard for all-day comfort.","https://images.express.com/is/image/expressfashion/0022_05048084_0851?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,printed moisture-wicking performance polo,men,Tops,printed moisture-wicking performance polo
